image,plate_text
00000001.jpg,KL 65 1218
00000004.jpg,KA IND 5 1051 JDIA VIA
00000006.jpg,KA L1 IND EM 1051
00000017.jpg,NO_DETECTION
00000028.jpg,A 07 IND J 1771
00000032.jpg,YK 6850
00000038.jpg,NO_DETECTION
00000054.jpg,UP5A IND ZOS90F
00000064.jpg,IND KA 20MC 0661
00000126.jpg,IND HHO 1AE8OIZ
00000127.jpg,KAZI IND EN 1051
00000163.jpg,MHOIA IND 1234567 B1234
00000191.jpg,CHOLANOOOU
00000196.jpg,
00000205.jpg,TN 01 BJ 7878 SLOD
00000206.jpg,IND DLSSC 67463
00000217.jpg,N59A01515
00000221.jpg,KA 0 IND E 105 INDIA VION IDIA VIAI DIA
00000229.jpg,UP 65 IND C19680
00000231.jpg,KL 18 W 3485 CA
00000232.jpg,IND PY 01 Q 5959
00000234.jpg,PRADEEP BIKE 11AZ 1707 IND
00000236.jpg,B KL 58 Y 8899
00000237.jpg,KA 03 AB 3289
00000240.jpg,MP IND 02 CY 2208
00000243.jpg,MPO7NF IN 9055
00000252.jpg,LOW_CONF
00000255.jpg,IND KL 65 E 9607
00000272.jpg,WBZ4AL5823
00000282.jpg,KA 02 ME 1140
00000284.jpg,ABKAG5 KC 5877
00000285.jpg,KL 14 8439
00000286.jpg,DL 6S I76801
00000287.jpg,YRL9 XF B
00000293.jpg,HR26AY0731
00000299.jpg,KL 18 S2728 DOVA CWCICID
00000320.jpg,NO_DETECTION
00000340.jpg,MH20 DV2363
00000352.jpg,NO_DETECTION
00000369.jpg,KL 65 10OG
00000376.jpg,KL 07 IND N 0269
00000408.jpg,MH 26 AK 0606
00000426.jpg,MH L8 FZ 25 BE96L1
License (1002).png,WB 06 2182
License (1007).png,AP 29 AJ 9099
License (1009).png,AP1O AS 219E
License (1013).png,IK22BU0781
License (1015).png,GJLHM2973
License (1016).png,GJLHM2973
License (1020).png,TN05AL1191
License (1030).png,WB OGF 1772
License (1036).png,KL O71U1319
License (1037).png,KA 02 MH66771
License (1040).png,TX20BC4534
License (1041).png,6J1KJ877
License (1046).png,MHOACT2218
License (1056).png,TN05AF6991
License (1058).png,AP 09 BW 4601
License (1065).png,MH42 EX7388
License (1067).png,TN20BF6121
License (1071).png,MPO9CL5296
License (1079).png,TN22CZ4300
License (1090).png,MHOZBM1873
License (1092).png,MH0ZBM 873
License (1094).png,Z 1645
License (1099).png,KLO7803489
License (1117).png,DLZ CN 6944
License (1120).png,KU51MC620G
License (1125).png,AP10 BB 3651
License (1126).png,AP10 BB 3651
License (113).png,AP9 BN 4684
License (1132).png,MH 03 BE 6763
License (1135).png,L 9741
License (1136).png,L 9741
License (1139).png,DL 3C BS 0440
License (114).png,AP9 BN 4684
License (1141).png,MD 3261
License (1150).png,DL9CACZ8BB
License (1156).png,AJ0651
License (1164).png,MH 04 EF 3337
License (1173).png,MHO4EX1364
License (1177).png,DL 2CAL7538
License (1178).png,DL 2CAL7538
License (1180).png,MI42H4306
License (1185).png,
License (1186).png,
License (1189).png,INI0U5733
